latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
5.236,-61.407,303.1,1,1,2021-02-12,0225,T,53,6.0NRT,287.5,6,N
5.47,-62.595,302.2,1.2,1.1,2021-02-12,0225,T,48,6.0NRT,291.4,4.6,N
8.007,-56.992,313.9,1.4,1.2,2021-02-12,0225,T,83,6.0NRT,293.5,16.2,N
6.485,-67.684,307.2,2.6,1.5,2021-02-12,0225,T,70,6.0NRT,290.9,24.3,N
6.801,-66.773,305.4,2.2,1.4,2021-02-12,0225,T,64,6.0NRT,292,16,N
6.8,-66.779,310.4,2.2,1.4,2021-02-12,0225,T,80,6.0NRT,291.9,26.5,N
6.816,-66.761,310.8,2.2,1.4,2021-02-12,0225,T,81,6.0NRT,291.9,26.9,N
6.813,-66.781,315,2.2,1.4,2021-02-12,0225,T,90,6.0NRT,291.6,36.8,N
7.553,-67.884,301.6,2.6,1.5,2021-02-12,0225,T,21,6.0NRT,290.5,14.1,N
7.567,-67.886,308.4,2.6,1.5,2021-02-12,0225,T,74,6.0NRT,290.6,30.7,N
8.682,-63.153,302.6,1.1,1.1,2021-02-12,0225,T,50,6.0NRT,292.4,4.1,N
8.727,-62.912,303.6,1.1,1.1,2021-02-12,0225,T,56,6.0NRT,292.2,5,N
8.606,-65.262,304.2,1.5,1.2,2021-02-12,0225,T,42,6.0NRT,291.8,8.2,N
8.603,-65.275,326.6,1.5,1.2,2021-02-12,0225,T,100,6.0NRT,292.2,44.2,N
8.616,-65.263,303.7,1.5,1.2,2021-02-12,0225,T,56,6.0NRT,291.5,7.7,N
8.614,-65.277,302.2,1.5,1.2,2021-02-12,0225,T,40,6.0NRT,291.4,5.9,N
8.491,-66.872,306.2,2.1,1.4,2021-02-12,0225,T,67,6.0NRT,292.8,13.1,N
9.275,-64.049,302.5,1.3,1.1,2021-02-12,0225,T,49,6.0NRT,291.7,5.2,N
9.236,-64.301,312.4,1.3,1.1,2021-02-12,0225,T,85,6.0NRT,291.8,15.4,N
9.377,-64.518,318.5,1.3,1.1,2021-02-12,0225,T,97,6.0NRT,292.9,22,N
9.375,-64.53,335.1,1.3,1.1,2021-02-12,0225,T,100,6.0NRT,293.4,52.1,N
9.373,-64.542,304.8,1.3,1.1,2021-02-12,0225,T,50,6.0NRT,292.4,6.5,N
9.383,-64.544,307.1,1.3,1.1,2021-02-12,0225,T,70,6.0NRT,292.6,8.9,N
9.562,-63.626,301.4,1.2,1.1,2021-02-12,0225,T,37,6.0NRT,288.6,5.1,N
9.561,-63.637,302.4,1.2,1.1,2021-02-12,0225,T,39,6.0NRT,286.8,6.2,N
9.635,-63.558,305.3,1.2,1.1,2021-02-12,0225,T,39,6.0NRT,286.9,6.1,N
9.633,-63.568,305.8,1.2,1.1,2021-02-12,0225,T,37,6.0NRT,287.2,6.2,N
9.645,-63.559,370.9,1.2,1.1,2021-02-12,0225,T,100,6.0NRT,289.9,146.9,N
9.643,-63.57,358.7,1.2,1.1,2021-02-12,0225,T,100,6.0NRT,290.5,101.4,N
9.654,-63.56,321.5,1.2,1.1,2021-02-12,0225,T,100,6.0NRT,288.6,21.5,N
9.653,-63.571,327.7,1.2,1.1,2021-02-12,0225,T,100,6.0NRT,288.8,30.2,N
9.645,-63.624,304.7,1.2,1.1,2021-02-12,0225,T,23,6.0NRT,284.4,8.3,N
9.654,-63.625,330,1.2,1.1,2021-02-12,0225,T,100,6.0NRT,283,37.5,N
9.739,-63.114,302.6,1.1,1.1,2021-02-12,0225,T,50,6.0NRT,286,5.9,N
9.702,-63.531,304,1.2,1.1,2021-02-12,0225,T,58,6.0NRT,289.6,6.8,N
9.579,-67.789,305,2.3,1.5,2021-02-12,0225,T,62,6.0NRT,293.3,13.1,N
10.06,-64.863,321,1.4,1.2,2021-02-12,0225,T,100,6.0NRT,294.2,26.6,N
10.058,-64.876,327.2,1.4,1.2,2021-02-12,0225,T,100,6.0NRT,293.9,37.5,N
9.558,-68.234,304.5,2.5,1.5,2021-02-12,0225,T,60,6.0NRT,292.2,17.7,N
9.626,-69.299,300.9,3,1.7,2021-02-12,0225,T,35,6.0NRT,290.2,18.8,N
-0.096,109.322,316.3,1,1,2021-02-12,0315,T,49,6.0NRT,293.3,7.4,D
-0.199,109.267,319.9,1,1,2021-02-12,0315,T,60,6.0NRT,299,9.7,D
0.254,103.06,309.9,1.9,1.4,2021-02-12,0315,T,59,6.0NRT,285,14,D
-6.892,107.499,322.3,1,1,2021-02-12,0315,T,59,6.0NRT,302,11.8,D
-7.048,107.746,320.7,1,1,2021-02-12,0315,T,42,6.0NRT,297.3,11.1,D
-6.979,106.833,315.5,1,1,2021-02-12,0315,T,67,6.0NRT,298.6,7,D
45.59,121.738,301.7,1,1,2021-02-12,0300,T,32,6.0NRT,277.8,6.7,D
45.588,121.751,307,1,1,2021-02-12,0300,T,57,6.0NRT,278.6,9.9,D
42.307,123.304,308.8,1.3,1.1,2021-02-12,0300,T,59,6.0NRT,279.5,14,D
42.308,123.298,300.1,1.3,1.1,2021-02-12,0300,T,13,6.0NRT,278.9,6.5,D
42.185,123.347,305,1.3,1.1,2021-02-12,0300,T,44,6.0NRT,280.4,9.8,D
42.175,123.344,314.2,1.3,1.1,2021-02-12,0300,T,74,6.0NRT,281,20.1,D
